City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,mar del plata,-38.0023,-57.5575,17.189999999999998,35,0,4.47,AR,1715278820
67,caravelas,-17.7125,-39.2481,29.28000000000003,62,23,2.84,BR,1715279046
68,port lincoln,-34.7333,135.8667,13.840000000000032,79,0,4.26,AU,1715279048
69,bredasdorp,-34.5322,20.0403,12.740000000000009,82,0,2.51,ZA,1715279049
70,mendi,-6.1761,143.6513,13.800000000000011,98,99,0.88,PG,1715279050
71,cobija,-11.0267,-68.7692,34.10000000000002,59,75,0.0,BO,1715279052
72,deer lake,49.1667,-57.4316,11.920000000000016,43,75,2.06,CA,1715279053
73,nalut,30.3333,10.85,20.850000000000023,26,2,7.32,LY,1715279054
74,saskylakh,71.9167,114.0833,-13.029999999999973,99,99,2.79,RU,1715279055
75,dudinka,69.4058,86.1778,-10.739999999999952,97,12,3.13,RU,1715279057
76,zamberk,50.086,16.4674,13.350000000000023,71,91,2.89,CZ,1715279058
77,jaguariaiva,-24.2511,-49.7058,28.660000000000025,42,53,3.15,BR,1715278978
78,aberdeen,57.1437,-2.0981,15.860000000000014,87,75,3.6,GB,1715278769
79,mahebourg,-20.4081,57.7,25.160000000000025,73,40,5.66,MU,1715279062
80,kedrovyy,56.1667,91.8167,0.2300000000000182,71,96,2.64,RU,1715279063
81,makakilo city,21.3469,-158.0858,23.890000000000043,90,100,2.06,US,1715279064
82,qostanay,53.1667,63.5833,4.160000000000025,93,0,5.0,KZ,1715278996
83,esperance,-33.8667,121.9,17.310000000000002,56,100,8.2,AU,1715279067
84,darnah,32.767,22.6367,18.720000000000027,83,6,7.05,LY,1715279068
85,provideniya,64.3833,-173.3,-6.849999999999966,84,46,1.84,RU,1715279069
86,rafaela,-31.2503,-61.4867,14.04000000000002,47,83,3.88,AR,1715279071
87,saint-philippe,-21.3585,55.7679,23.77000000000004,80,73,7.94,RE,1715279072
88,ponta do sol,32.6667,-17.1,22.620000000000005,77,18,0.67,PT,1715279073
89,solnechnyy,50.7214,136.6319,3.910000000000025,85,35,2.6,RU,1715279075
90,saint george,37.1041,-113.5841,21.900000000000034,18,0,2.06,US,1715279048
91,alba,52.0324,23.1165,11.5,61,23,0.68,PL,1715279077
92,arman,59.7,150.1667,0.010000000000047748,93,42,0.59,RU,1715279078
93,ugoofaaru,5.6667,73.0,29.420000000000016,78,95,5.81,MV,1715279080
94,butaritari,3.0707,172.7902,28.29000000000002,78,64,4.07,KI,1715279081
95,kavaratti,10.5669,72.642,30.390000000000043,70,100,5.1,IN,1715279082
96,zhangye,38.9342,100.4517,17.060000000000002,44,100,3.61,CN,1715279084
97,shenjiamen,29.9576,122.298,15.740000000000009,82,98,6.3,CN,1715279085
98,itarema,-2.9248,-39.9167,30.510000000000048,72,75,4.34,BR,1715279086
99,trincomalee,8.5711,81.2335,27.410000000000025,79,96,3.42,LK,1715279087
100,castro,-24.7911,-50.0119,27.49000000000001,46,45,2.75,BR,1715279089
101,heihe,50.2441,127.4902,7.470000000000027,30,100,1.74,CN,1715279090
102,rio gallegos,-51.6226,-69.2181,5.03000000000003,81,20,2.57,AR,1715278635
103,siavonga,-16.5382,28.7088,22.980000000000018,57,10,0.67,ZM,1715279092
104,bluff,-46.6,168.3333,9.330000000000041,82,87,7.78,NZ,1715279094
105,nova olimpia,-14.7972,-57.2881,33.99000000000001,37,3,2.09,BR,1715279095
106,palencia,42.4167,-4.5,22.730000000000018,47,100,1.11,ES,1715279096
107,inhambane,-23.865,35.3833,20.99000000000001,88,0,1.54,MZ,1715279097
108,iqaluit,63.7506,-68.5145,-1.1499999999999773,68,75,2.06,CA,1715279099
109,lebu,-37.6167,-73.65,12.170000000000016,80,100,4.47,CL,1715279100
110,calabozo,8.9242,-67.4293,28.32000000000005,74,100,4.15,VE,1715279101
111,sao filipe,14.8961,-24.4956,27.260000000000048,58,25,6.08,CV,1715279103
112,torbay,47.6666,-52.7314,9.310000000000002,73,75,2.57,CA,1715279104
113,kavieng,-2.5744,150.7967,27.33000000000004,82,100,3.22,PG,1715279105
114,yidu,24.1614,115.1328,20.510000000000048,87,100,0.45,CN,1715279107
115,cedar city,37.6775,-113.0619,12.439999999999998,38,0,4.63,US,1715279108
